,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93675,"1,374","2,998",887,"59,675","1,093","42,328",665,894,"1,038","4,995",243,45,502
"Under $10,000        ",218,329,66,633,138,681,51,43,52,29,46,12,12
"$10,000 under $25,000",337,624,177,"5,729",256,"3,931",105,137,234,210,49,*         ,53
"$25,000 under $50,000",371,881,297,"13,848",303,"9,901",187,277,316,892,63,12,139
"$50,000 under $75,000",243,626,199,"14,883",209,"11,524",158,228,232,"1,274",51,11,138
"$75,000 under $100,000",118,307,83,"10,326",108,"8,217",92,115,117,"1,016",15,10,87
"$100,000 or more     ",87,231,65,"14,256",79,"8,074",72,94,87,"1,574",19,*         ,73
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93701,"2,835","7,730","4,197","55,860","2,640","46,631",282,477,"1,052","2,782",282,*         ,172
"Under $10,000        ",839,"1,944","1,003","4,772",754,"4,081",27,4,154,83,93,0,*         
"$10,000 under $25,000","1,337","3,665","2,058","22,309","1,267","20,235",98,27,479,447,110,*         ,43
"$25,000 under $50,000",551,"1,815","1,004","18,105",534,"16,747",99,23,315,629,57,0,62
"$50,000 under $75,000",83,240,106,"5,136",74,"4,242",36,40,79,445,10,0,46
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,12,0,*         
"$100,000 or more     ",25,66,26,"5,538",11,"1,326",22,383,25,"1,178",*         ,0,21
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93702,"13,073","35,403","18,525","295,968","12,079","253,997","2,031","1,999","5,552","13,339","1,253",22,"1,264"
"Under $10,000        ","3,119","6,300","2,836","17,156","2,749","15,642",188,94,671,276,348,*         ,35
"$10,000 under $25,000","5,772","15,546","8,495","98,685","5,373","87,570",587,261,"2,143","1,964",515,22,224
"$25,000 under $50,000","3,309","10,722","5,871","112,865","3,175","103,081",783,370,"1,931","4,073",270,*         ,576
"$50,000 under $75,000",650,"2,188","1,075","38,469",599,"32,740",309,245,586,"2,721",68,0,264
"$75,000 under $100,000",131,402,163,"11,196",116,"8,051",87,82,129,"1,165",27,0,93
"$100,000 or more     ",92,245,85,"17,597",67,"6,913",77,947,92,"3,140",25,*         ,72
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93703,"10,248","24,555","11,308","266,512","9,055","220,203","2,651","2,685","5,576","15,638","1,143",11,"1,738"
"Under $10,000        ","2,256","4,201","1,716","11,878","1,881","10,411",240,207,533,236,288,11,41
"$10,000 under $25,000","3,868","9,085","4,457","66,110","3,397","55,537",646,686,"1,863","1,771",410,*         ,259
"$25,000 under $50,000","2,941","8,005","3,907","102,268","2,718","89,167","1,029",757,"2,054","4,971",287,*         ,779
"$50,000 under $75,000",847,"2,373",942,"50,946",765,"41,766",469,551,794,"4,094",105,0,420
"$75,000 under $100,000",220,577,177,"18,621",193,"14,212",167,231,216,"1,965",29,0,145
"$100,000 or more     ",116,314,109,"16,689",101,"9,110",100,253,116,"2,601",24,*         ,94
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93704,"11,530","22,275","7,004","615,719","9,315","373,920","5,458","14,709","8,752","83,347","1,858",58,"4,134"
"Under $10,000        ","1,901","2,792",734,"1,469","1,395","7,775",440,441,569,274,304,11,86
"$10,000 under $25,000","2,937","5,270","1,871","50,284","2,386","38,701",773,"1,139","1,968","2,056",353,*         ,355
"$25,000 under $50,000","3,116","6,117","2,104","112,335","2,664","89,836","1,344","1,611","2,681","7,933",384,10,959
"$50,000 under $75,000","1,529","3,183",951,"93,668","1,234","68,113","1,086","1,754","1,489","9,458",291,*         ,950
"$75,000 under $100,000",847,"1,946",525,"72,853",684,"49,491",717,"1,326",846,"8,350",194,*         ,672
"$100,000 or more     ","1,200","2,967",819,"285,110",952,"120,004","1,098","8,438","1,199","55,276",332,37,"1,112"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93705,"12,678","28,526","12,031","386,571","10,947","294,524","4,015","5,135","7,748","28,100","1,558",13,"2,918"
"Under $10,000        ","2,603","4,674","1,825","13,182","2,171","11,784",351,289,653,281,361,*         ,80
"$10,000 under $25,000","4,353","9,562","4,417","73,656","3,753","60,279",857,864,"2,258","2,141",473,13,356
"$25,000 under $50,000","3,568","8,746","3,876","126,409","3,192","106,618","1,317","1,235","2,755","7,042",383,*         ,"1,093"
"$50,000 under $75,000","1,373","3,584","1,345","82,682","1,189","63,966",863,921,"1,307","6,947",182,*         ,789
"$75,000 under $100,000",478,"1,233",372,"40,599",411,"29,770",362,537,473,"4,292",91,*         ,342
"$100,000 or more     ",303,727,196,"50,043",231,"22,107",265,"1,289",302,"7,397",68,*         ,258
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93706,"10,574","27,098","13,249","292,682","9,345","222,870","2,364","5,149","5,183","24,560","1,092",405,"1,441"
"Under $10,000        ","2,553","5,152","2,287","6,987","2,122","12,594",282,442,555,357,307,95,62
"$10,000 under $25,000","4,330","11,138","5,833","73,632","3,924","62,766",551,600,"1,824","1,763",375,61,210
"$25,000 under $50,000","2,485","7,288","3,725","85,966","2,277","73,503",728,783,"1,646","3,971",239,82,493
"$50,000 under $75,000",701,"2,100",913,"42,416",627,"32,898",396,746,654,"3,441",92,68,313
"$75,000 under $100,000",247,751,297,"21,299",211,"14,948",179,346,247,"2,130",36,30,157
"$100,000 or more     ",258,669,194,"62,382",184,"26,161",228,"2,232",257,"12,898",43,69,206
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93707,46,96,41,"1,747",43,"1,071",10,0,26,137,*         ,0,*         
"Under $10,000        ",12,17,4,73,12,69,0,0,*         ,*              ,0,0,0
"$10,000 under $25,000",10,19,8,180,10,172,0,0,*         ,*              ,0,0,0
"$25,000 under $50,000",24,60,29,"1,494",21,830,10,0,26,137,0,0,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93708,46,87,33,"1,053",41,884,10,1,32,52,*         ,0,*         
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,*         ,0,0
"$10,000 under $25,000",32,54,19,441,27,368,10,1,21,16,*         ,0,0
"$25,000 under $50,000",14,33,14,612,14,516,*         ,*              ,11,36,0,0,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93709,53,109,47,"1,619",45,"1,308",11,1,33,117,*         ,0,*         
"Under $10,000        ",13,23,8,85,10,62,*         ,*              ,11,6,*         ,0,0
"$10,000 under $25,000",13,33,18,224,11,158,11,1,*         ,*              ,0,0,0
"$25,000 under $50,000",27,53,21,"1,310",24,"1,088",*         ,*              ,22,111,0,0,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,*         ,*              ,0,0,0
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93710,"11,155","21,796","6,836","439,071","9,280","312,781","4,908","7,699","8,236","42,324","1,454",34,"3,552"
"Under $10,000        ","2,161","3,028",702,"9,305","1,788","9,781",431,313,684,246,240,*         ,88
"$10,000 under $25,000","3,151","5,525","1,843","53,417","2,598","41,910",814,980,"2,099","2,115",312,20,331
"$25,000 under $50,000","2,705","5,456","1,883","97,618","2,283","76,065","1,189","1,481","2,365","6,707",336,*         ,818
"$50,000 under $75,000","1,597","3,828","1,258","98,661","1,321","71,816","1,155","1,517","1,551","8,912",262,14,"1,023"
"$75,000 under $100,000",826,"2,142",660,"71,280",693,"51,079",671,"1,082",823,"7,648",173,*         ,640
"$100,000 or more     ",715,"1,817",490,"108,790",597,"62,130",648,"2,326",714,"16,696",131,*         ,652
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93711,"17,447","34,124","9,048","1,895,108","13,594","855,515","10,777","70,709","14,516","364,836","3,281",219,"8,581"
"Under $10,000        ","2,700","3,324",383,"-19,189","1,892","11,171","1,009","2,343",973,442,352,30,158
"$10,000 under $25,000","3,174","4,722","1,054","54,309","2,430","38,754","1,138","2,023","2,393","2,608",422,*         ,514
"$25,000 under $50,000","3,592","6,432","1,783","131,764","2,887","97,553","1,750","3,250","3,241","10,114",533,13,"1,198"
"$50,000 under $75,000","2,313","4,959","1,428","143,352","1,814","96,291","1,711","3,823","2,252","13,772",419,17,"1,507"
"$75,000 under $100,000","1,646","4,050","1,196","142,219","1,309","93,756","1,396","3,712","1,638","15,437",402,26,"1,365"
"$100,000 or more     ","4,022","10,637","3,204","1,442,653","3,262","517,990","3,773","55,558","4,019","322,463","1,153",133,"3,839"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93712,42,85,36,"1,391",37,"1,126",*         ,*              ,27,118,*         ,0,*         
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0
"$10,000 under $25,000",19,43,21,243,15,169,*         ,*              ,*         ,*              ,0,0,0
"$25,000 under $50,000",23,42,15,"1,148",22,957,*         ,*              ,27,118,0,0,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,0,0,0,0,0,0,0
"$100,000 or more     ",*         ,*         ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93714,51,105,44,"1,885",46,"1,483",15,11,29,170,*         ,0,18
"Under $10,000        ",14,25,10,76,20,246,*         ,*              ,0,0,0,0,0
"$10,000 under $25,000",10,16,6,176,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
"$25,000 under $50,000",14,39,20,562,14,514,15,11,16,35,0,0,18
"$50,000 under $75,000",13,25,8,"1,071",12,723,*         ,*              ,13,135,0,0,*         
"$75,000 under $100,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93715,54,111,48,"1,368",50,"1,206",*         ,*              ,34,84,*         ,0,*         
"Under $10,000        ",13,28,14,55,11,48,*         ,*              ,0,0,0,0,0
"$10,000 under $25,000",18,31,11,344,18,321,*         ,*              ,14,15,*         ,0,0
"$25,000 under $50,000",23,52,23,969,21,837,*         ,*              ,20,69,*         ,0,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
93716,39,87,39,"1,100",32,617,*         ,*              ,21,42,*         ,0,0
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,0
